Date,HeureDebut,Duree,Cours,CodeCours,Local,Site,ConcatAnneeEtudeSection_UF
2024-01-08,10:30,120,Machines tournantes  triphasées,E2081,S13,SCH,2° Electromécanique
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,124,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,125,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,127,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,A04,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,B 11&12,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,B 21&22,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,BR 01&02,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,BS 01&02,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,S23,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,S24,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,S25,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,S27,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,S28,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,SPV 1&2,WLW,1° International Business
2024-01-08,10:45,120,Statistique et mathématiques financières,X104,SPV3,WLW,1° International Business
2024-01-08,10:45,60,Anthropo. soc.et cul.1,AM1AS,11 (informatique),EUR,1° Management du tourisme et des loisirs
2024-01-08,10:45,60,Anthropo. soc.et cul.1,AM1AS,12 (informatique),EUR,1° Management du tourisme et des loisirs
2024-01-08,10:45,60,Anthropo. soc.et cul.1,AM1AS,32 (informatique),EUR,1° Management du tourisme et des loisirs
2024-01-08,10:45,60,Anthropo. soc.et cul.1,AM1AS,L115,LLN,1° Management du tourisme et des loisirs
2024-01-08,10:45,60,Anthropo. soc.et cul.1,AM1AS,L120,LLN,1° Management du tourisme et des loisirs
2024-01-08,10:45,60,Anthropo. soc.et cul.1,AM1AS,L121,LLN,1° Management du tourisme et des loisirs
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,A01,WLW,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,A02,WLW,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,A03,WLW,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,A04,WLW,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,BA05,WLW,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,BA06,WLW,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,L125,LLN,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,L128&L129,LLN,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,L130&L131,LLN,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,LA01,LLN,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,LA02,LLN,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,R23,WLW,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,R24,WLW,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,R25,WLW,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,R27,WLW,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,R28,WLW,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,S21,WLW,1° Marketing
2024-01-08,10:45,120,Statistique et mathématiques financières,MK101,S22,WLW,1° Marketing
2024-01-08,10:45,120,Communication en Allemand,AM3AL,21,EUR,3° Management du tourisme et des loisirs
2024-01-08,11:0,60,Labo DC,A1013,TLAB,SCH,1° Automatisation
2024-01-08,11:0,120,Machines tournantes  triphasées,E2081,S30 (sch),SCH,2° Electromécanique
2024-01-08,11:30,30,Sales and Negociation Techniques,ERA107,128,WLW,1° Erasmus
2024-01-08,11:45,60,Anthropo. soc.et cul.1,AM1AS,11 (informatique),EUR,1° Management du tourisme et des loisirs
2024-01-08,11:45,60,Anthropo. soc.et cul.1,AM1AS,12 (informatique),EUR,1° Management du tourisme et des loisirs
2024-01-08,11:45,60,Anthropo. soc.et cul.1,AM1AS,32 (informatique),EUR,1° Management du tourisme et des loisirs
2024-01-08,11:45,60,Socio. voyage et loisirs,AM1SV,L115,LLN,1° Management du tourisme et des loisirs
2024-01-08,11:45,60,Socio. voyage et loisirs,AM1SV,L120,LLN,1° Management du tourisme et des loisirs
2024-01-08,11:45,60,Socio. voyage et loisirs,AM1SV,L121,LLN,1° Management du tourisme et des loisirs
2024-01-08,13:15,75,Lb machines alternatives triphasées,E2082,S4LE,SCH,2° Electromécanique
2024-01-08,13:15,180,Gestion de production,E310GI,S3MM,SCH,3° Electromécanique
2024-01-08,13:30,30,Néerlandais premier quadrimestre,C111NL1,201,WLW,1° Comptabilité
2024-01-08,13:30,90,Droit des obligations,J104,A01,WLW,1° Droit
2024-01-08,13:30,90,Droit des obligations,J104,A02,WLW,1° Droit
2024-01-08,13:30,90,Droit des obligations,J104,R23,WLW,1° Droit
2024-01-08,13:30,30,Droit des contrats et de la responsabilité,B102,LR09,LLN,1° e-business
2024-01-08,13:30,30,Droit des contrats et de la responsabilité,B102,S27,WLW,1° e-business
2024-01-08,13:30,30,Néerlandais premier quadrimestre,B110NL1,S23,WLW,1° e-business
2024-01-08,13:30,30,Soft skills au service de l'entreprise,B1211,S25,WLW,1° e-business
2024-01-08,13:30,90,Anglais I,T110,L122,LLN,1° Technologie de l'informatique
2024-01-08,13:30,90,Anglais I,T110,L123,LLN,1° Technologie de l'informatique
2024-01-08,13:30,90,Anglais I,T110,L124,LLN,1° Technologie de l'informatique
2024-01-08,13:30,30,Néerlandais des affaires 1 premier quadrimestre,C210NL1,103,WLW,2° Comptabilité
2024-01-08,13:30,30,Néerlandais débutants 2,J207ND,207,WLW,2° Droit
2024-01-08,13:30,60,Néerlandais juridique 1,J207NL1,105,WLW,2° Droit
2024-01-08,13:30,120,Bases de données & structuration info. pour web,B208,A03,WLW,2° e-business
2024-01-08,13:30,120,Bases de données & structuration info. pour web,B208,A04,WLW,2° e-business
2024-01-08,13:30,120,Bases de données & structuration info. pour web,B208,L128&L129,LLN,2° e-business
2024-01-08,13:30,120,Bases de données & structuration info. pour web,B208,L134,LLN,2° e-business
2024-01-08,13:30,120,Bases de données & structuration info. pour web,B208,R23,WLW,2° e-business
2024-01-08,13:30,120,Bases de données & structuration info. pour web,B208,R24,WLW,2° e-business
2024-01-08,13:30,30,Anglais des affaires premier quadrimestre,MK2041,101,WLW,2° Marketing
2024-01-08,13:30,30,Anglais des affaires premier quadrimestre,MK2041,104,WLW,2° Marketing
2024-01-08,13:30,30,Anglais des affaires premier quadrimestre,MK2041,106,WLW,2° Marketing
2024-01-08,13:30,30,Anglais des affaires premier quadrimestre,MK2041,203,WLW,2° Marketing
2024-01-08,13:30,30,Anglais des affaires premier quadrimestre,MK2041,206,WLW,2° Marketing
2024-01-08,13:30,30,Anglais des affaires premier quadrimestre,MK2041,L220,LLN,2° Marketing
2024-01-08,13:30,30,Néerlandais des affaires premier quadrimestre,MK205NL1,107,WLW,2° Marketing
2024-01-08,13:30,30,Néerlandais des affaires premier quadrimestre,MK205NL1,204,WLW,2° Marketing
2024-01-08,13:30,45,Développement informatique II (Théorie),T2011,LR07,LLN,2° Technologie de l'informatique
2024-01-08,13:30,45,Développement informatique II (Théorie),T2011,LR08,LLN,2° Technologie de l'informatique
2024-01-08,13:30,120,Cas pratiques de Comptabilité,C3101,B 11&12,WLW,3° Comptabilité
2024-01-08,13:30,120,Cas pratiques de Comptabilité,C3101,BR 01&02,WLW,3° Comptabilité
2024-01-08,13:30,120,Cas pratiques de Comptabilité,C3101,L134,LLN,3° Comptabilité
2024-01-08,13:30,120,Cas pratiques de Comptabilité,C3101,LA02,LLN,3° Comptabilité
2024-01-08,13:30,120,Cas pratiques de Comptabilité,C3101,R23,WLW,3° Comptabilité
2024-01-08,13:30,30,L'Europe: Droit et valeurs,J301,205,WLW,3° Droit
2024-01-08,13:30,60,English for specific purposes,J304EN,S26,WLW,3° Droit
2024-01-08,13:30,40,Management of a marketing project,B3041MD,S28,WLW,3° e-business
2024-01-08,13:30,60,Corporate startup seminar,X3013GEI,R04,WLW,3° International Business
2024-01-08,13:30,120,Informatique approfondie,MK302,102,WLW,3° Marketing
2024-01-08,13:30,120,Informatique approfondie,MK302,124,WLW,3° Marketing
2024-01-08,13:30,120,Informatique approfondie,MK302,125,WLW,3° Marketing
2024-01-08,13:30,120,Informatique approfondie,MK302,127,WLW,3° Marketing
2024-01-08,13:30,120,Informatique approfondie,MK302,128,WLW,3° Marketing
2024-01-08,13:30,120,Informatique approfondie,MK302,202,WLW,3° Marketing
2024-01-08,13:30,120,Informatique approfondie,MK302,L115,LLN,3° Marketing
2024-01-08,13:30,120,Informatique approfondie,MK302,L118,LLN,3° Marketing
2024-01-08,13:30,120,Informatique approfondie,MK302,L120,LLN,3° Marketing
2024-01-08,13:30,120,Informatique approfondie,MK302,L121,LLN,3° Marketing
2024-01-08,13:30,120,Informatique approfondie,MK302,L223,LLN,3° Marketing
2024-01-08,13:30,120,Informatique approfondie,MK302,R30,WLW,3° Marketing
2024-01-08,13:45,120,Fond.droit.oblig.contrats,AE1DC,-2 SALLE,EUR,1° Assistant de direction
2024-01-08,13:45,60,Socio. voyage et loisirs,AM1SV,11 (informatique),EUR,1° Management du tourisme et des loisirs
2024-01-08,13:45,60,Socio. voyage et loisirs,AM1SV,12 (informatique),EUR,1° Management du tourisme et des loisirs
2024-01-08,13:45,60,Socio. voyage et loisirs,AM1SV,32 (informatique),EUR,1° Management du tourisme et des loisirs
2024-01-08,14:0,45,Digital Platform Project,ERA118,209,WLW,1° Erasmus
2024-01-08,14:45,60,Socio. voyage et loisirs,AM1SV,11 (informatique),EUR,1° Management du tourisme et des loisirs
2024-01-08,14:45,60,Socio. voyage et loisirs,AM1SV,12 (informatique),EUR,1° Management du tourisme et des loisirs
